date,kalman_filtered_lake_water_levels
20160401,217.36380935131945
20160404,217.41979942969587
20160405,217.4271166519602
20160416,217.66756830629726
20160420,217.68108049605414
20160424,217.57465005227246
20160427,217.66046455770643
20160428,217.52020037441363
20160501,217.51011293631956
20160502,217.46050318767342
20160513,217.58162931040877
20160517,217.72280603743977
20160521,217.5965101256704
20160524,217.75298919638297
20160525,217.64139240492216
20160528,217.66676079124167
20160529,217.65429948958612
20160609,217.94609834003336
20160613,217.86418445428066
20160617,217.7099919771685
20160620,217.7736332130445
20160621,217.6901099922657
20160624,217.71440166023115
20160625,217.6316021915428
20160706,217.92142218603848
20160710,217.8447218441813
20160714,217.74058285152395
20160717,217.8334482144227
20160718,217.72154188163762
20160721,217.7237181853538
20160722,217.71529376021113
20160802,217.9362205395459
20160806,217.84496429612508
20160810,217.69575599537828
20160813,217.77297383996492
20160814,217.68173074152028
20160817,217.73151628850025
20160818,217.66631465015328
20160829,217.85170239402157
20160902,217.89159800857976
20160906,217.66149111391036
20160909,217.66694370087723
20160910,217.55454905875987
20160913,217.66141876991531
20160914,217.49924274806907
20160925,217.5706316655494
20160929,217.72301955596052
20161003,217.64944011833956
20161006,217.91133130444638
20161007,217.78456144410467
20161010,217.73956040358513
20161011,217.70899164775946
20161022,217.92755863438146
20161026,217.94527590502938
20161030,217.7906764913024
20161102,217.97362436771803
20161103,217.81613943939303
20161106,217.81159189779447
20161107,217.7698730551395
20161118,218.01194748790266
20161122,218.07138850022653
20161126,217.90818418416367
20161129,218.03231875480884
20161130,217.90016284070015
20161203,217.87087150809762
20161204,217.6320492419322
20161215,217.86398247234197
20161219,217.5132419676009
20161223,217.4189011475553
20161226,217.47858616629657
20161227,217.37035107496231
20161230,217.32539464959515
20161231,217.3048394346813
20170111,217.3085834166886
20170115,217.11863206260261
20170119,217.24069238947317
20170122,217.83990006430093
20170123,217.7351172694265
20170126,217.098659787656
20170127,217.14486606550003
20170207,216.9908612955574
20170211,216.6362383472673
20170215,216.4885272190683
20170218,217.5095010091672
20170219,217.28194427126206
20170222,217.59084708319432
20170223,217.60632049605957
20170306,217.21427281533033
20170310,216.8874011012134
20170314,217.52332755337426
